category,name,symbol,current_price,market_cap,market_cap_rank,volume_24h,price_change_24h,price_change_7d
letsbonk-fun-ecosystem,Useless Coin,useless,0.221105,221327988.0,331.0,36978096.0,-0.75417,0
letsbonk-fun-ecosystem,Bucky,bucky,0.02457516,24577367.0,1256.0,1040957.0,3.98923,0
letsbonk-fun-ecosystem,Kori,kori,0.02239663,22404765.0,1310.0,3173646.0,-7.70216,0
letsbonk-fun-ecosystem,Rhetor,rt,0.01681369,16828758.0,1499.0,215211.0,4.24622,0
letsbonk-fun-ecosystem,Freya Protocol,freya,0.01334583,12612654.0,1677.0,250453.0,-15.55668,0
letsbonk-fun-ecosystem,Momo,momo,0.01255156,12585231.0,1671.0,1308674.0,19.98751,0
letsbonk-fun-ecosystem,Hosico Cat,hosico,0.0122497,12365767.0,1691.0,1377178.0,-6.73005,0
letsbonk-fun-ecosystem,America's Official Launchpad,aol,0.01001447,10009518.0,1831.0,936305.0,-6.5569,0
letsbonk-fun-ecosystem,Nyla AI,nyla,0.00534214,5355024.0,2353.0,928556.0,-5.33991,0
letsbonk-fun-ecosystem,Ani Grok Companion,ani,0.00401017,4010094.0,2605.0,8396018.0,-12.16754,0
letsbonk-fun-ecosystem,Capybara,capy,2.78e-06,2775021.0,3009.0,176265.0,11.48216,0
letsbonk-fun-ecosystem,Solana Stock Index,ssx,0.00274268,2693581.0,3052.0,225570.0,-9.84605,0
letsbonk-fun-ecosystem,Let's BONK,letsbonk,0.03891617,2685604.0,3040.0,550390.0,7.63637,0
letsbonk-fun-ecosystem,just memecoin,memecoin,0.00264423,2623865.0,3103.0,389043.0,13.53075,0
letsbonk-fun-ecosystem,Ibiza Final Boss,boss,0.0020096,1874334.0,3471.0,600454.0,1.00919,0
letsbonk-fun-ecosystem,IKUN,ikun,0.00185579,1855787.0,3479.0,664512.0,-1.56539,0
letsbonk-fun-ecosystem,VALA CAPITAL MARKETS,vcm,0.00021588,1727007.0,3563.0,20930.0,-5.17968,0
letsbonk-fun-ecosystem,Dollar Cost Average,dca,0.00157147,1571464.0,3673.0,70188.0,-12.2916,0
letsbonk-fun-ecosystem,Monkey The Picasso,monkey,0.00156449,1485993.0,3749.0,246833.0,16.28846,0
letsbonk-fun-ecosystem,Aircoin,aircoin,0.00147887,1476653.0,3755.0,109263.0,4.25634,0
letsbonk-fun-ecosystem,FARTLESS COIN,fartless,0.00126447,1254371.0,3982.0,759919.0,-1.20596,0
letsbonk-fun-ecosystem,Looks Good,sendit,0.00220756,1214109.0,4036.0,42330.0,-1.72439,0
letsbonk-fun-ecosystem,Scamcoin,scam,0.0011046,1104548.0,4151.0,111648.0,31.35779,0
letsbonk-fun-ecosystem,gib,gib,0.00094201,942310.0,4369.0,501588.0,16.06665,0
letsbonk-fun-ecosystem,Go Rest Offline,grof,0.00103197,874629.0,4475.0,3850.98,1.31345,0
letsbonk-fun-ecosystem,Trustra,trust,0.00181971,872665.0,4527.0,79928.0,2.06097,0
letsbonk-fun-ecosystem,Blue Chip,bluechip,0.00081626,815886.0,4577.0,208440.0,-7.28194,0
letsbonk-fun-ecosystem,Lizard,lizard,0.00060857,614684.0,5002.0,857230.0,-4.76658,0
letsbonk-fun-ecosystem,Bag on Bonk,bag,0.00059312,593332.0,5035.0,8669.13,23.92775,0
letsbonk-fun-ecosystem,BaoBao,baobao,0.00052692,526235.0,5193.0,19705.86,8.84296,0
letsbonk-fun-ecosystem,Just can't prove it,detective,0.00051716,517113.0,5205.0,241153.0,9.07049,0
letsbonk-fun-ecosystem,Bonkyo,bonkyo,0.00047907,476463.0,5301.0,95545.0,-8.32518,0
